                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.1937,                0.75727,                 1.0612,                0.79066,                  0.415,                0.56792,                 0.3409,                 1.5238,                0.92864,                 1.2313,             0.00032553,             0.00032553,             0.00032553
                     80,                 1.1763,                0.77091,                 1.0364,                 0.8427,                0.10257,                 0.3893,                0.23952,                 1.4984,                0.93003,                 1.2196,             0.00031138,             0.00031138,             0.00031138
                     81,                 1.1552,                0.72321,                 1.0363,                0.78269,                0.35689,                0.55115,                0.32974,                 1.4776,                0.92483,                 1.2095,             0.00029723,             0.00029723,             0.00029723
                     82,                 1.1642,                0.75804,                 1.0413,                0.86651,                 0.2616,                0.48806,                  0.299,                 1.4609,                 0.9311,                 1.2072,             0.00028308,             0.00028308,             0.00028308
                     83,                 1.1735,                0.72672,                 1.0495,                0.74878,                0.10257,                0.40822,                0.25522,                 1.4528,                0.93383,                 1.2105,             0.00026894,             0.00026894,             0.00026894
                     84,                 1.1661,                0.73862,                  1.049,                0.75234,                0.43544,                0.59462,                0.35693,                 1.4483,                0.94705,                 1.2083,             0.00025479,             0.00025479,             0.00025479
                     85,                 1.1924,                0.73951,                 1.0606,                 0.8259,                0.73456,                 0.7937,                0.48923,                 1.4597,                0.95895,                 1.2089,             0.00024064,             0.00024064,             0.00024064
                     86,                 1.1421,                0.73594,                 1.0526,                0.81471,                0.18559,                0.51335,                0.32956,                 1.4378,                0.94651,                 1.1964,              0.0002265,              0.0002265,              0.0002265
                     87,                 1.1666,                0.72976,                 1.0716,                0.82446,                0.26062,                0.48975,                0.30451,                 1.4426,                0.95202,                 1.1987,             0.00021235,             0.00021235,             0.00021235
                     88,                 1.1273,                0.74721,                 1.0344,                0.77342,                0.40443,                0.56283,                0.34152,                 1.4592,                0.97626,                 1.2094,              0.0001982,              0.0001982,              0.0001982
                     89,                 1.1165,                0.71599,                 1.0288,                0.75598,                0.40742,                0.56067,                0.34002,                 1.4652,                0.99195,                 1.2138,             0.00018406,             0.00018406,             0.00018406
                     90,                 1.2118,                0.76678,                 1.0897,                0.78273,                0.24759,                0.45015,                0.28558,                 1.4568,                0.98707,                 1.2088,             0.00016991,             0.00016991,             0.00016991
                     91,                 1.1697,                0.73145,                 1.0705,                0.82475,                0.72506,                0.80115,                0.49072,                  1.434,                0.98109,                 1.1971,             0.00015576,             0.00015576,             0.00015576
                     92,                 1.1372,                0.73862,                 1.0778,                0.87208,                0.17409,                0.47146,                0.30039,                 1.4175,                0.98401,                 1.1806,             0.00014161,             0.00014161,             0.00014161
                     93,                 1.1362,                0.71267,                 1.0619,                0.82476,                0.10257,                0.38536,                0.23689,                 1.4184,                0.99906,                 1.1785,             0.00012747,             0.00012747,             0.00012747
                     94,                 1.1073,                0.71209,                  1.021,                0.83002,                0.10257,                0.40893,                0.25237,                  1.426,                 1.0075,                 1.1817,             0.00011332,             0.00011332,             0.00011332
                     95,                 1.1252,                0.72254,                 1.0322,                 0.8673,                0.35185,                0.58793,                0.35986,                 1.4313,                 1.0031,                 1.1847,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                  1.116,                0.72609,                 1.0714,                0.87951,                 0.2616,                0.51449,                0.32209,                 1.4409,                0.98162,                 1.1903,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 1.0656,                0.68879,                 1.0109,                0.81046,                 0.5708,                0.70588,                0.44006,                  1.431,                0.96602,                 1.1908,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                 1.1001,                0.70019,                 1.0255,                0.80184,                0.45393,                0.61211,                0.36844,                   1.42,                0.94036,                 1.1883,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 1.0963,                0.69239,                 1.0145,                0.80308,                0.10257,                 0.4041,                0.24962,                 1.4166,                 0.9267,                 1.1881,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                 1.0816,                0.67621,                 1.0167,                0.78696,                0.10257,                0.40502,                0.24592,                 1.4168,                0.91228,                 1.1908,             2.8437e-05,             2.8437e-05,             2.8437e-05
